executor,rps,duration_ms,throughput_rps,p95_ms,p99_ms
PLATFORM,500,10352,483.0,145,244
VIRTUAL,500,10190,490.68,71,144
PLATFORM,1000,10178,982.51,64,87
VIRTUAL,1000,10098,990.3,170,223
PLATFORM,1500,11186,1340.96,856,957
VIRTUAL,1500,10357,1448.3,332,410
PLATFORM,2000,14740,1356.85,4396,4556
VIRTUAL,2000,13051,1532.45,4377,4445
PLATFORM,3000,17828,1682.75,7285,7562
VIRTUAL,3000,16071,1866.72,6921,7025
PLATFORM,4000,27019,1480.44,15567,16712
VIRTUAL,4000,50404,793.59,38877,42479
PLATFORM,5000,39899,1253.16,28612,29403
VIRTUAL,5000,46075,1085.19,34515,37658
