executor,rps,duration_ms,throughput_rps,p95_ms,p99_ms
PLATFORM,500,10040,497.61,33,244
VIRTUAL,500,10032,498.01,40,144
PLATFORM,1000,10045,995.52,35,87
VIRTUAL,1000,10050,995.02,80,223
PLATFORM,1500,10064,1490.46,468,957
VIRTUAL,1500,10060,1491.07,201,410
PLATFORM,2000,10066,1986.89,1984,4556
VIRTUAL,2000,10062,1987.68,1983,4445
PLATFORM,3000,10075,2977.67,4121,7562
VIRTUAL,3000,10070,2979.15,3861,7025
PLATFORM,4000,10090,3964.32,10001,16712
VIRTUAL,4000,10080,3968.25,20101,42479
PLATFORM,5000,10099,4950.99,20001,29403
VIRTUAL,5000,10100,4950.5,20001,37658
